Frames,RightFootEE,,RightToeBase,,RightFoot,,RightLeg,,RightUpLeg,,LeftFootEE,,LeftToeBase,,LeftFoot,,LeftLeg,,LeftUpLeg,,RightHandEE,,RightHand,,RightForeArm,,RightArm,,RightShoulder,,LeftHandEE,,LeftHand,,LeftForeArm,,LeftArm,,LeftShoulder,,HeadEE,,Head,,Neck,,Spine4,,Spine3,,Spine2,,Spine1,,Spine,,Hips,,Nose,,LeftEye,,RightEye,,LeftEar,,RightEar,,LeftHeelOuter,,LeftHeelInner,,RightHeelOuter,,RightHeelInner,,LeftToeBaseOuter,,LeftToeBaseInner,,RightToeBaseOuter,,RightToeBaseInner,,LeftFootEEOuter,,LeftFootEEInner,,RightFootEEOuter,,RightFootEEInner,,LeftArm_,,LeftForeArm_,,LeftHand_,,RightArm_,,RightForeArm_,,RightHand_,,LeftUpLeg_,,LeftLeg_,,LeftFoot_,,LeftToeBase_,,RightUpLeg_,,RightLeg_,,RightFoot_,,RightToeBase_,,
704,0.528922,0.322117,0.537211,0.317663,0.550639,0.306082,0.546419,0.265562,0.549645,0.214477,0.561886,0.345932,0.564112,0.338639,0.567919,0.323589,0.569566,0.275269,0.573753,0.219637,0.512302,0.168531,0.516709,0.165064,0.521303,0.159395,0.546008,0.135519,0.566838,0.135765,0.594943,0.225904,0.597669,0.214113,0.600278,0.179931,0.598324,0.141891,0.578911,0.138461,0.576888,0.0934885,0.574765,0.119957,0.574711,0.131291,0.575358,0.140434,0.571828,0.161801,0.569041,0.176188,0.566744,0.188165,0.565489,0.202312,0.562913,0.212131,0.567791,0.121815,0.574258,0.116482,0.565392,0.114836,0.586817,0.115364,0.562088,0.110825,0.571756,0.332226,0.563482,0.331168,0.547783,0.311625,0.553181,0.315298,0.568228,0.342902,0.559753,0.341779,0.534517,0.319108,0.539881,0.322899,0.566084,0.348841,0.557472,0.347679,0.525929,0.322313,0.531278,0.326175,0.598324,0.141891,0.600278,0.179931,0.597669,0.214113,0.546008,0.135519,0.521303,0.159395,0.516709,0.165064,0.573753,0.219637,0.569566,0.275269,0.567919,0.323589,0.564112,0.338639,0.549645,0.214477,0.546419,0.265562,0.550639,0.306082,0.537211,0.317663,
705,0.528923,0.322123,0.537209,0.317668,0.550635,0.306086,0.546432,0.265582,0.549644,0.214488,0.56191,0.345947,0.564127,0.338647,0.567923,0.323589,0.56955,0.275262,0.573762,0.219631,0.512298,0.16859,0.516719,0.16506,0.521314,0.159404,0.545991,0.135516,0.566825,0.135767,0.594954,0.225888,0.597663,0.214099,0.600246,0.179917,0.598307,0.141876,0.578901,0.138462,0.576872,0.0934821,0.574753,0.119955,0.574699,0.131291,0.575338,0.140436,0.571805,0.161804,0.569021,0.176192,0.566728,0.188169,0.565478,0.202309,0.562912,0.212132,0.56782,0.121815,0.574281,0.116475,0.565408,0.11484,0.58682,0.115348,0.562071,0.110835,0.571753,0.332223,0.563477,0.331163,0.547773,0.311627,0.553174,0.315302,0.56824,0.342909,0.559764,0.341784,0.534512,0.319111,0.539878,0.322904,0.566107,0.348857,0.557494,0.347692,0.525927,0.322318,0.53128,0.326181,0.598307,0.141876,0.600246,0.179917,0.597663,0.214099,0.545991,0.135516,0.521314,0.159404,0.516719,0.16506,0.573762,0.219631,0.56955,0.275262,0.567923,0.323589,0.564127,0.338647,0.549644,0.214488,0.546432,0.265582,0.550635,0.306086,0.537209,0.317668,
706,0.528922,0.322125,0.537209,0.31767,0.550632,0.306085,0.546408,0.26559,0.549627,0.214486,0.561938,0.345948,0.564143,0.338644,0.56792,0.323581,0.56955,0.275259,0.573751,0.219622,0.512291,0.168637,0.516715,0.165065,0.521286,0.159428,0.545967,0.135532,0.566803,0.135809,0.594953,0.225885,0.597668,0.214097,0.600237,0.179912,0.598306,0.141885,0.578899,0.138492,0.576846,0.0934892,0.574736,0.119977,0.574675,0.131316,0.575292,0.140441,0.571774,0.161799,0.569001,0.176185,0.566714,0.188162,0.565458,0.202304,0.562896,0.212127,0.567837,0.121818,0.574291,0.116473,0.565412,0.11485,0.586814,0.115345,0.562048,0.110867,0.571753,0.332211,0.563476,0.331156,0.547776,0.311629,0.553176,0.315301,0.568258,0.342903,0.559781,0.341784,0.534514,0.319116,0.53988,0.322906,0.566136,0.348854,0.557522,0.347696,0.525928,0.322323,0.53128,0.326182,0.598306,0.141885,0.600237,0.179912,0.597668,0.214097,0.545967,0.135532,0.521286,0.159428,0.516715,0.165065,0.573751,0.219622,0.56955,0.275259,0.56792,0.323581,0.564143,0.338644,0.549627,0.214486,0.546408,0.26559,0.550632,0.306085,0.537209,0.31767,
707,0.528921,0.322123,0.537207,0.317671,0.550629,0.306083,0.546402,0.265587,0.549611,0.214498,0.561956,0.345955,0.564155,0.338652,0.567925,0.32359,0.569556,0.275259,0.57374,0.219627,0.512263,0.168673,0.516691,0.165079,0.521308,0.159433,0.545964,0.13554,0.566809,0.135764,0.594971,0.225881,0.597659,0.214087,0.600201,0.179904,0.59831,0.141872,0.578903,0.138447,0.576818,0.093496,0.574733,0.119958,0.57468,0.131285,0.57529,0.140429,0.571753,0.161802,0.568974,0.176193,0.566687,0.188172,0.565437,0.202307,0.56288,0.212133,0.567868,0.121867,0.574313,0.116508,0.565427,0.114893,0.586818,0.115332,0.562033,0.110876,0.571751,0.332222,0.563473,0.331165,0.547771,0.311624,0.553172,0.315298,0.568267,0.342911,0.559789,0.341791,0.534511,0.319115,0.539878,0.322906,0.566153,0.348862,0.557538,0.347702,0.525926,0.322319,0.531278,0.326181,0.59831,0.141872,0.600201,0.179904,0.597659,0.214087,0.545964,0.13554,0.521308,0.159433,0.516691,0.165079,0.57374,0.219627,0.569556,0.275259,0.567925,0.32359,0.564155,0.338652,0.549611,0.214498,0.546402,0.265587,0.550629,0.306083,0.537207,0.317671,
708,0.528918,0.322123,0.537206,0.31767,0.550626,0.30608,0.546373,0.265603,0.549611,0.2145,0.561981,0.345959,0.564168,0.338652,0.567919,0.323585,0.569562,0.27526,0.573754,0.219619,0.512233,0.168688,0.516672,0.165085,0.521292,0.159458,0.545943,0.135538,0.566789,0.135812,0.59497,0.225882,0.597653,0.21409,0.600194,0.179903,0.598289,0.141887,0.57889,0.138491,0.576795,0.0934986,0.574713,0.119983,0.57466,0.131319,0.575268,0.140445,0.571748,0.161807,0.568977,0.176194,0.566694,0.188171,0.565433,0.202303,0.562884,0.21213,0.567889,0.121857,0.574327,0.116494,0.565434,0.114892,0.586812,0.115327,0.562009,0.110908,0.571745,0.332213,0.563466,0.331161,0.547775,0.311627,0.553176,0.315295,0.568281,0.342909,0.559801,0.341793,0.534513,0.319118,0.53988,0.322904,0.566179,0.348864,0.557562,0.347708,0.525925,0.322323,0.531277,0.326179,0.598289,0.141887,0.600194,0.179903,0.597653,0.21409,0.545943,0.135538,0.521292,0.159458,0.516672,0.165085,0.573754,0.219619,0.569562,0.27526,0.567919,0.323585,0.564168,0.338652,0.549611,0.2145,0.546373,0.265603,0.550626,0.30608,0.537206,0.31767,
709,0.528921,0.322122,0.537205,0.317669,0.550623,0.30608,0.546376,0.265618,0.549593,0.214516,0.562007,0.34597,0.564184,0.338661,0.567919,0.323589,0.569568,0.275251,0.573751,0.219613,0.512206,0.168701,0.516632,0.165089,0.52127,0.159487,0.545926,0.135541,0.566776,0.13582,0.594983,0.225875,0.597645,0.214086,0.600173,0.179899,0.598282,0.141874,0.57889,0.138494,0.576779,0.0934965,0.574706,0.119985,0.574647,0.131322,0.575234,0.140447,0.571708,0.161809,0.568941,0.176198,0.566664,0.188176,0.565401,0.202302,0.562867,0.212133,0.567909,0.12186,0.574342,0.116492,0.565443,0.114898,0.586813,0.115316,0.561996,0.110921,0.571746,0.332215,0.563466,0.331166,0.547766,0.311624,0.553169,0.315295,0.568297,0.342916,0.559816,0.341803,0.53451,0.319115,0.539878,0.322904,0.566206,0.348874,0.557587,0.347721,0.525925,0.322321,0.53128,0.326179,0.598282,0.141874,0.600173,0.179899,0.597645,0.214086,0.545926,0.135541,0.52127,0.159487,0.516632,0.165089,0.573751,0.219613,0.569568,0.275251,0.567919,0.323589,0.564184,0.338661,0.549593,0.214516,0.546376,0.265618,0.550623,0.30608,0.537205,0.317669,
710,0.528923,0.322133,0.537206,0.317672,0.550618,0.30607,0.546366,0.265622,0.549578,0.214503,0.562032,0.345974,0.564198,0.338664,0.567914,0.323591,0.569583,0.275253,0.573727,0.219613,0.512162,0.168688,0.516598,0.165108,0.521247,0.159521,0.545916,0.135529,0.566774,0.13583,0.594973,0.225872,0.597651,0.214087,0.600173,0.179899,0.598274,0.141888,0.578887,0.138507,0.576764,0.0935033,0.5747,0.119995,0.574645,0.131331,0.575232,0.14045,0.571708,0.161806,0.568939,0.176193,0.566659,0.18817,0.565394,0.202299,0.562851,0.212128,0.567928,0.121873,0.574356,0.116499,0.565453,0.114914,0.586815,0.115314,0.561985,0.110941,0.571743,0.332215,0.563461,0.331172,0.547768,0.311614,0.553172,0.315281,0.568312,0.342917,0.55983,0.34181,0.534513,0.319119,0.539883,0.322905,0.566232,0.348874,0.557612,0.347728,0.525928,0.322333,0.531284,0.326188,0.598274,0.141888,0.600173,0.179899,0.597651,0.214087,0.545916,0.135529,0.521247,0.159521,0.516598,0.165108,0.573727,0.219613,0.569583,0.275253,0.567914,0.323591,0.564198,0.338664,0.549578,0.214503,0.546366,0.265622,0.550618,0.30607,0.537206,0.317672,
711,0.528918,0.322124,0.537202,0.31767,0.550617,0.306076,0.546357,0.265619,0.549577,0.214534,0.562056,0.345977,0.564212,0.338665,0.567913,0.323588,0.56957,0.275249,0.573749,0.219611,0.512126,0.168695,0.516555,0.1651,0.521218,0.159536,0.545895,0.135535,0.566756,0.135832,0.594985,0.225876,0.597643,0.214089,0.600156,0.179899,0.598264,0.141892,0.578878,0.138499,0.57676,0.0935127,0.574688,0.119997,0.574625,0.131329,0.575203,0.140447,0.571684,0.161807,0.568921,0.176197,0.566649,0.188176,0.56538,0.202309,0.562854,0.212141,0.567946,0.121893,0.574372,0.116516,0.565463,0.114932,0.586815,0.11532,0.561973,0.110949,0.571741,0.33221,0.563459,0.33117,0.547764,0.311624,0.553168,0.31529,0.568327,0.342915,0.559843,0.341812,0.534508,0.319118,0.539878,0.322903,0.566257,0.348876,0.557636,0.347733,0.525923,0.322325,0.531278,0.32618,0.598264,0.141892,0.600156,0.179899,0.597643,0.214089,0.545895,0.135535,0.521218,0.159536,0.516555,0.1651,0.573749,0.219611,0.56957,0.275249,0.567913,0.323588,0.564212,0.338665,0.549577,0.214534,0.546357,0.265619,0.550617,0.306076,0.537202,0.31767,
712,0.528918,0.322123,0.537201,0.317668,0.550614,0.306071,0.546362,0.265637,0.54953,0.214531,0.562085,0.345985,0.564228,0.338668,0.567908,0.323584,0.569612,0.275248,0.573712,0.219599,0.5121,0.168668,0.516509,0.165109,0.52117,0.159553,0.545891,0.135552,0.566757,0.135837,0.594985,0.225874,0.597642,0.214088,0.600153,0.179899,0.598277,0.141899,0.578887,0.13851,0.57675,0.0935177,0.574694,0.120005,0.574629,0.131337,0.575179,0.140452,0.57164,0.161809,0.568872,0.176197,0.566599,0.188175,0.565324,0.202297,0.562807,0.212132,0.567965,0.121904,0.574386,0.116522,0.565475,0.114946,0.586823,0.115315,0.561972,0.110968,0.571737,0.332202,0.563453,0.331166,0.547761,0.311615,0.553165,0.315284,0.568343,0.342915,0.559857,0.341816,0.534507,0.319115,0.539877,0.322902,0.566287,0.348881,0.557664,0.347743,0.525922,0.322322,0.531278,0.326179,0.598277,0.141899,0.600153,0.179899,0.597642,0.214088,0.545891,0.135552,0.52117,0.159553,0.516509,0.165109,0.573712,0.219599,0.569612,0.275248,0.567908,0.323584,0.564228,0.338668,0.54953,0.214531,0.546362,0.265637,0.550614,0.306071,0.537201,0.317668,
713,0.528921,0.322124,0.537202,0.317667,0.55061,0.306064,0.54634,0.265643,0.549551,0.214552,0.562108,0.345993,0.564242,0.338674,0.567908,0.323588,0.569586,0.275237,0.573746,0.219598,0.512066,0.168637,0.516473,0.165117,0.521124,0.159559,0.545865,0.135552,0.566734,0.135838,0.594977,0.225875,0.597656,0.214092,0.60014,0.179902,0.598264,0.141912,0.578873,0.138494,0.576777,0.0935235,0.574684,0.120002,0.574601,0.131328,0.575152,0.140443,0.571632,0.161804,0.568877,0.176196,0.566613,0.188177,0.565338,0.202305,0.562831,0.212141,0.567977,0.121911,0.574402,0.116534,0.565489,0.114947,0.586827,0.115331,0.561973,0.110953,0.571737,0.332204,0.563452,0.331171,0.547759,0.31161,0.553164,0.315276,0.568358,0.34292,0.559871,0.341824,0.534508,0.319115,0.539879,0.322898,0.56631,0.348887,0.557686,0.347752,0.525925,0.322325,0.531282,0.326179,0.598264,0.141912,0.60014,0.179902,0.597656,0.214092,0.545865,0.135552,0.521124,0.159559,0.516473,0.165117,0.573746,0.219598,0.569586,0.275237,0.567908,0.323588,0.564242,0.338674,0.549551,0.214552,0.54634,0.265643,0.55061,0.306064,0.537202,0.317667,
714,0.528902,0.32215,0.537181,0.317692,0.550587,0.306089,0.546302,0.265679,0.549542,0.214572,0.562116,0.346021,0.564236,0.338698,0.567881,0.323603,0.569558,0.275244,0.573756,0.219594,0.512051,0.168573,0.516441,0.165063,0.521058,0.159539,0.545859,0.135563,0.56673,0.13585,0.594973,0.225884,0.597655,0.214104,0.600122,0.179911,0.598271,0.141914,0.578881,0.138497,0.576799,0.093515,0.574692,0.120002,0.574595,0.131332,0.575126,0.140444,0.571608,0.161806,0.568859,0.176199,0.566601,0.188181,0.565318,0.202308,0.562825,0.212148,0.567996,0.121892,0.574422,0.116517,0.565508,0.11493,0.586841,0.115327,0.561985,0.110948,0.571709,0.332217,0.563422,0.331187,0.547731,0.311635,0.553139,0.315302,0.568352,0.342942,0.559862,0.341849,0.534484,0.31914,0.539858,0.322925,0.566319,0.348914,0.557691,0.347783,0.525904,0.322351,0.531264,0.326206,0.598271,0.141914,0.600122,0.179911,0.597655,0.214104,0.545859,0.135563,0.521058,0.159539,0.516441,0.165063,0.573756,0.219594,0.569558,0.275244,0.567881,0.323603,0.564236,0.338698,0.549542,0.214572,0.546302,0.265679,0.550587,0.306089,0.537181,0.317692,
715,0.528927,0.322128,0.537204,0.317667,0.550605,0.306058,0.546333,0.265668,0.549525,0.214563,0.562162,0.346011,0.564273,0.338685,0.567905,0.32359,0.569611,0.27523,0.573741,0.219586,0.512051,0.168588,0.516398,0.165079,0.521008,0.159579,0.545852,0.135556,0.566729,0.135853,0.594985,0.225879,0.597671,0.214101,0.600114,0.179907,0.598261,0.141932,0.578879,0.138507,0.576814,0.0935275,0.574698,0.120011,0.574597,0.131339,0.575122,0.14045,0.571593,0.16181,0.568839,0.176201,0.566579,0.188182,0.565296,0.202296,0.562807,0.212138,0.567998,0.121907,0.574426,0.116534,0.565513,0.114942,0.586848,0.115345,0.561994,0.110951,0.571731,0.332202,0.563443,0.331174,0.547753,0.311604,0.553162,0.315268,0.568388,0.342927,0.559899,0.341837,0.534508,0.319115,0.539884,0.322898,0.566365,0.348901,0.557738,0.347773,0.52593,0.32233,0.531291,0.326182,0.598261,0.141932,0.600114,0.179907,0.597671,0.214101,0.545852,0.135556,0.521008,0.159579,0.516398,0.165079,0.573741,0.219586,0.569611,0.27523,0.567905,0.32359,0.564273,0.338685,0.549525,0.214563,0.546333,0.265668,0.550605,0.306058,0.537204,0.317667,
716,0.528931,0.322132,0.537203,0.317663,0.550595,0.306043,0.546329,0.265668,0.549514,0.214578,0.562186,0.34602,0.564287,0.338691,0.567902,0.32359,0.569598,0.275234,0.573742,0.219591,0.51205,0.168552,0.516374,0.165066,0.520952,0.159571,0.545838,0.135543,0.566717,0.135867,0.594988,0.225885,0.597682,0.214109,0.600103,0.179915,0.598256,0.141951,0.578872,0.138515,0.576844,0.0935426,0.574697,0.120022,0.574582,0.131347,0.575108,0.14045,0.57159,0.161807,0.568841,0.176199,0.566583,0.188182,0.565287,0.202309,0.5628,0.212149,0.567994,0.121915,0.574428,0.116551,0.565518,0.114946,0.586852,0.115374,0.562004,0.110947,0.571727,0.332198,0.563438,0.331173,0.547745,0.311588,0.553157,0.31525,0.568401,0.34293,0.559911,0.341843,0.534508,0.319112,0.539886,0.322892,0.566389,0.348908,0.55776,0.347783,0.525932,0.322334,0.531297,0.326185,0.598256,0.141951,0.600103,0.179915,0.597682,0.214109,0.545838,0.135543,0.520952,0.159571,0.516374,0.165066,0.573742,0.219591,0.569598,0.275234,0.567902,0.32359,0.564287,0.338691,0.549514,0.214578,0.546329,0.265668,0.550595,0.306043,0.537203,0.317663,
717,0.528931,0.322131,0.537202,0.317661,0.550594,0.306041,0.54632,0.265684,0.549496,0.214584,0.562214,0.346023,0.564302,0.338693,0.567899,0.323592,0.569634,0.275235,0.573735,0.219586,0.512071,0.168509,0.516361,0.165037,0.520877,0.159573,0.545832,0.135531,0.566714,0.135883,0.59499,0.225897,0.597695,0.214123,0.600092,0.179929,0.59825,0.141975,0.578874,0.138534,0.576884,0.0935469,0.574712,0.120033,0.574582,0.131361,0.575095,0.140461,0.57157,0.161816,0.568819,0.176206,0.566562,0.188187,0.565261,0.202304,0.562783,0.212148,0.567991,0.121903,0.574433,0.116547,0.565526,0.114932,0.586865,0.115394,0.562028,0.110938,0.571719,0.332199,0.563429,0.331176,0.547737,0.311579,0.55315,0.315247,0.568415,0.342932,0.559922,0.341846,0.534503,0.319104,0.539882,0.32289,0.566417,0.348911,0.557786,0.347786,0.525931,0.322329,0.531296,0.326185,0.59825,0.141975,0.600092,0.179929,0.597695,0.214123,0.545832,0.135531,0.520877,0.159573,0.516361,0.165037,0.573735,0.219586,0.569634,0.275235,0.567899,0.323592,0.564302,0.338693,0.549496,0.214584,0.54632,0.265684,0.550594,0.306041,0.537202,0.317661,
718,0.528941,0.322133,0.537209,0.317659,0.550595,0.306033,0.546305,0.265698,0.549496,0.214594,0.562236,0.34602,0.564315,0.338692,0.567898,0.323593,0.569634,0.275236,0.573739,0.219588,0.512108,0.168447,0.51635,0.165025,0.520814,0.159543,0.545831,0.135521,0.566715,0.135876,0.594993,0.225916,0.597709,0.214145,0.600083,0.179951,0.598241,0.142004,0.578878,0.138525,0.576921,0.0935529,0.574725,0.120031,0.574583,0.131356,0.575088,0.140462,0.571556,0.161822,0.568805,0.176213,0.56655,0.188195,0.565255,0.202305,0.562783,0.212152,0.567983,0.121907,0.574432,0.116559,0.56553,0.11493,0.586876,0.115415,0.562051,0.11092,0.571716,0.332202,0.563425,0.33118,0.54774,0.311572,0.553155,0.315238,0.568427,0.342931,0.559933,0.341847,0.53451,0.319103,0.539892,0.322888,0.566439,0.348907,0.557807,0.347785,0.52594,0.322332,0.531308,0.326186,0.598241,0.142004,0.600083,0.179951,0.597709,0.214145,0.545831,0.135521,0.520814,0.159543,0.51635,0.165025,0.573739,0.219588,0.569634,0.275236,0.567898,0.323593,0.564315,0.338692,0.549496,0.214594,0.546305,0.265698,0.550595,0.306033,0.537209,0.317659,
719,0.528941,0.322134,0.537206,0.317658,0.550585,0.306026,0.546297,0.265687,0.54947,0.214609,0.562265,0.346028,0.564331,0.338696,0.567895,0.32359,0.56966,0.27525,0.573729,0.219595,0.512158,0.168408,0.516339,0.164992,0.520732,0.159528,0.545817,0.135505,0.566705,0.135891,0.594988,0.225934,0.597723,0.214172,0.60007,0.17998,0.598232,0.142037,0.578872,0.138537,0.576973,0.093569,0.574733,0.120044,0.574572,0.131367,0.575074,0.140467,0.571549,0.161824,0.568799,0.176216,0.566544,0.188199,0.565229,0.202318,0.562762,0.212164,0.567963,0.121907,0.574425,0.116572,0.56553,0.114923,0.586883,0.115456,0.562076,0.110904,0.571714,0.332194,0.563422,0.331177,0.547734,0.311569,0.553151,0.31523,0.568444,0.342931,0.559949,0.341852,0.534508,0.319106,0.539892,0.322885,0.566469,0.348912,0.557835,0.347796,0.52594,0.322337,0.53131,0.326186,0.598232,0.142037,0.60007,0.17998,0.597723,0.214172,0.545817,0.135505,0.520732,0.159528,0.516339,0.164992,0.573729,0.219595,0.56966,0.27525,0.567895,0.32359,0.564331,0.338696,0.54947,0.214609,0.546297,0.265687,0.550585,0.306026,0.537206,0.317658,
720,0.528939,0.322135,0.537204,0.317657,0.550581,0.306023,0.546285,0.265706,0.549466,0.214615,0.562289,0.346038,0.564345,0.338705,0.567893,0.323598,0.569656,0.27525,0.573731,0.219596,0.512238,0.168347,0.51636,0.164956,0.52066,0.159501,0.54582,0.135485,0.566709,0.135906,0.595003,0.225959,0.597729,0.2142,0.600058,0.180007,0.598216,0.142069,0.578878,0.138555,0.577012,0.0935679,0.57475,0.120052,0.574578,0.131379,0.575073,0.14048,0.571542,0.161835,0.568791,0.176226,0.566536,0.188208,0.565219,0.202318,0.562759,0.212167,0.567942,0.121885,0.574414,0.116562,0.565526,0.1149,0.586892,0.115474,0.562104,0.110888,0.571711,0.332202,0.563418,0.331188,0.547729,0.311564,0.553147,0.315226,0.568458,0.342939,0.559962,0.341864,0.534505,0.319104,0.53989,0.322884,0.566494,0.348921,0.557859,0.347807,0.525938,0.322337,0.531309,0.326187,0.598216,0.142069,0.600058,0.180007,0.597729,0.2142,0.54582,0.135485,0.52066,0.159501,0.51636,0.164956,0.573731,0.219596,0.569656,0.27525,0.567893,0.323598,0.564345,0.338705,0.549466,0.214615,0.546285,0.265706,0.550581,0.306023,0.537204,0.317657,
721,0.528944,0.322128,0.537203,0.317661,0.550569,0.306009,0.546283,0.265695,0.549449,0.214633,0.562307,0.346039,0.564357,0.338707,0.567893,0.323602,0.569681,0.275247,0.573727,0.219599,0.512342,0.16827,0.516358,0.164938,0.520588,0.159481,0.545807,0.13545,0.566699,0.135897,0.594984,0.225988,0.597751,0.214243,0.600061,0.180048,0.598194,0.142124,0.578875,0.138539,0.577071,0.0935755,0.574762,0.120048,0.574567,0.131369,0.575052,0.140473,0.57152,0.161833,0.568772,0.176228,0.56652,0.188212,0.565198,0.202326,0.562745,0.212176,0.567912,0.121882,0.574398,0.116575,0.565519,0.114887,0.586898,0.115511,0.562135,0.110852,0.571716,0.332204,0.563422,0.331195,0.547724,0.311551,0.553146,0.315208,0.568472,0.342939,0.559975,0.341869,0.534508,0.319109,0.539896,0.322884,0.566514,0.348919,0.557878,0.347811,0.525939,0.322334,0.531313,0.32618,0.598194,0.142124,0.600061,0.180048,0.597751,0.214243,0.545807,0.13545,0.520588,0.159481,0.516358,0.164938,0.573727,0.219599,0.569681,0.275247,0.567893,0.323602,0.564357,0.338707,0.549449,0.214633,0.546283,0.265695,0.550569,0.306009,0.537203,0.317661,
722,0.528941,0.32213,0.5372,0.317661,0.550565,0.306007,0.54626,0.265721,0.549466,0.214646,0.562319,0.346049,0.564361,0.338713,0.567882,0.323602,0.569674,0.27524,0.573757,0.219591,0.512469,0.168206,0.51637,0.164887,0.520481,0.159468,0.545803,0.135451,0.5667,0.135918,0.594978,0.22602,0.597768,0.214285,0.600044,0.180092,0.59819,0.142156,0.578887,0.138551,0.577126,0.0935845,0.574782,0.120059,0.574565,0.13138,0.575036,0.140475,0.571513,0.161832,0.568773,0.176227,0.566529,0.188212,0.565204,0.202325,0.562763,0.212177,0.567877,0.121868,0.574378,0.116576,0.56551,0.114867,0.586905,0.115548,0.562171,0.11083,0.571715,0.332199,0.56342,0.3312,0.547721,0.311547,0.553143,0.315205,0.568482,0.34294,0.559983,0.34188,0.534505,0.319108,0.539893,0.322884,0.566528,0.348925,0.557891,0.347827,0.525936,0.322335,0.53131,0.326182,0.59819,0.142156,0.600044,0.180092,0.597768,0.214285,0.545803,0.135451,0.520481,0.159468,0.51637,0.164887,0.573757,0.219591,0.569674,0.27524,0.567882,0.323602,0.564361,0.338713,0.549466,0.214646,0.54626,0.265721,0.550565,0.306007,0.5372,0.317661,
723,0.528944,0.322132,0.537201,0.31766,0.550564,0.306002,0.546245,0.265728,0.549471,0.214654,0.56234,0.346055,0.564374,0.338718,0.567882,0.323605,0.569684,0.275238,0.57377,0.219591,0.512588,0.168157,0.516376,0.164852,0.520391,0.159442,0.545809,0.135443,0.566711,0.135908,0.594947,0.226045,0.597788,0.214324,0.600041,0.180136,0.598179,0.142197,0.5789,0.13854,0.577164,0.0935905,0.574802,0.120056,0.574577,0.131373,0.575042,0.140475,0.571511,0.161838,0.56877,0.176234,0.566527,0.18822,0.565203,0.202324,0.562769,0.21218,0.567846,0.12187,0.574358,0.116588,0.565499,0.114861,0.586911,0.115572,0.562201,0.110806,0.571712,0.332202,0.563416,0.331203,0.547716,0.311536,0.553139,0.315198,0.568493,0.342944,0.559994,0.341885,0.534503,0.319103,0.539893,0.322883,0.56655,0.348931,0.557911,0.347833,0.525937,0.322335,0.531314,0.326184,0.598179,0.142197,0.600041,0.180136,0.597788,0.214324,0.545809,0.135443,0.520391,0.159442,0.516376,0.164852,0.57377,0.219591,0.569684,0.275238,0.567882,0.323605,0.564374,0.338718,0.549471,0.214654,0.546245,0.265728,0.550564,0.306002,0.537201,0.31766,
724,0.528942,0.322126,0.537198,0.317653,0.550555,0.305988,0.546246,0.265719,0.549453,0.214658,0.562357,0.346056,0.564384,0.338717,0.567881,0.323601,0.56968,0.275233,0.573761,0.219587,0.512724,0.168101,0.516386,0.164809,0.520305,0.159401,0.545805,0.135467,0.566708,0.135925,0.594929,0.226078,0.597801,0.214371,0.600034,0.180183,0.598165,0.142236,0.578903,0.138556,0.577208,0.0935992,0.574815,0.120068,0.574574,0.131385,0.575029,0.140478,0.571501,0.161835,0.56876,0.17623,0.566518,0.188216,0.565183,0.202324,0.562753,0.21218,0.567815,0.121857,0.574338,0.116588,0.565488,0.114845,0.586914,0.115604,0.562229,0.11079,0.571713,0.332195,0.563417,0.331201,0.547714,0.311527,0.553138,0.315183,0.568505,0.342942,0.560005,0.341886,0.534503,0.3191,0.539894,0.322874,0.566567,0.348929,0.557928,0.347836,0.525936,0.322332,0.531314,0.326176,0.598165,0.142236,0.600034,0.180183,0.597801,0.214371,0.545805,0.135467,0.520305,0.159401,0.516386,0.164809,0.573761,0.219587,0.56968,0.275233,0.567881,0.323601,0.564384,0.338717,0.549453,0.214658,0.546246,0.265719,0.550555,0.305988,0.537198,0.317653,
725,0.528935,0.322137,0.53719,0.317662,0.550546,0.305993,0.546219,0.265739,0.549455,0.214656,0.562364,0.346059,0.564387,0.338721,0.567878,0.323607,0.569687,0.275243,0.573762,0.219589,0.51283,0.168037,0.516391,0.16476,0.520227,0.15935,0.545821,0.13549,0.566725,0.135948,0.594914,0.226108,0.5978,0.214409,0.600023,0.180226,0.598166,0.142265,0.578916,0.138589,0.577238,0.0936025,0.574837,0.120084,0.574595,0.131407,0.575052,0.140492,0.571519,0.161841,0.568773,0.176233,0.566527,0.188217,0.565187,0.202326,0.562756,0.212181,0.56779,0.121836,0.574322,0.116577,0.56548,0.114826,0.586922,0.115623,0.562257,0.110786,0.571707,0.332202,0.56341,0.331208,0.547706,0.311531,0.553131,0.315187,0.568506,0.342946,0.560005,0.34189,0.534496,0.319109,0.539888,0.322883,0.566574,0.348932,0.557934,0.347838,0.525929,0.322344,0.531307,0.326188,0.598166,0.142265,0.600023,0.180226,0.5978,0.214409,0.545821,0.13549,0.520227,0.15935,0.516391,0.16476,0.573762,0.219589,0.569687,0.275243,0.567878,0.323607,0.564387,0.338721,0.549455,0.214656,0.546219,0.265739,0.550546,0.305993,0.53719,0.317662,
